"code","ATR_n","TPk","SLk","J_th","dJ_th","vEMA_th","winrate","PF_eff","trades"
"1306.T","2","1.2","2","0.6","0.05","0.02","0.364864864864865","0.34431333849439","74"
"1356.T","3","1.2","1.5","0.6","0.02","0.02","0.263888888888889","0.286448485336123","72"
"1357.T","2","1.2","2","1","0.05","0.02","0.296296296296296","0.252362213009533","54"
"1360.T","3","1.2","2","0.6","0.05","0.05","0.319148936170213","0.280950119952019","47"
"1366.T","1","0.8","1.5","1","0.02","0.02","0.454545454545455","0.443763326226013","11"
"1459.T","1","1.2","1.5","1","0.02","0.05","0.105263157894737","0.0940047660855387","19"
"1475.T","5","1.2","1.5","1","0.05","0.02","0.294117647058824","0.33293354655295","68"
"1568.T","1","1.2","1.5","0.8","0.02","0.02","0.212765957446809","0.215956895061373","47"
"1570.T","2","1.2","2","0.6","0.02","0.05","0.35","0.322732445483345","60"
"1571.T","1","1.2","1.5","1","0.02","0.02","0.4","0.532693674484719","10"
"1579.T","3","1.2","2","0.6","0.05","0.05","0.333333333333333","0.29968012794882","63"
"1605.T","3","1.2","1.5","0.6","0.02","0.05","0.212121212121212","0.215126291618829","66"
"1615.T","2","1.2","1.5","0.6","0.05","0.02","0.366197183098592","0.46166785122009","71"
"1655.T","1","1.2","1.5","1","0.05","0.05","0.207547169811321","0.20927251497614","53"
"1662.T","5","1.2","2","0.6","0.05","0.05","0.274193548387097","0.226424985561331","62"
"179A.T","1","0.8","1.5","0.6","0.02","0.02","0.25","0.177505330490405","4"
"1802.T","3","1.2","2","0.8","0.05","0.02","0.450980392156863","0.492331638773062","51"
"1803.T","5","1.2","1.5","0.6","0.02","0.05","0.246153846153846","0.26091118750272","65"
"186A.T","2","1.2","1.5","0.6","0.02","0.05","0.173076923076923","0.167241037338226","52"
"1893.T","5","1.2","2","1","0.02","0.05","0.369230769230769","0.350845027842522","65"
"1911.T","1","1.2","2","0.6","0.02","0.02","0.360655737704918","0.338100657173028","61"
"1928.T","1","1.2","1.5","0.6","0.05","0.02","0.340425531914894","0.412408006052686","47"
"2127.T","5","1.2","1.5","0.8","0.05","0.02","0.2","0.19976012793177","70"
"2134.T","1","0.8","1.5","0.6","0.02","0.02","0.666666666666667","1.06503198294243","3"
"215A.T","3","1.2","2","0.8","0.02","0.02","0.106060606060606","0.0711105388353133","66"
"2181.T","3","1.2","2","0.6","0.05","0.05","0.522727272727273","0.65644218503075","44"
"218A.T","1","1.2","1.5","0.6","0.02","0.02","0.321428571428571","0.378492873975985","56"
"2267.T","5","1.2","2","1","0.02","0.02","0.256410256410256","0.206675950309531","39"
"2269.T","3","1.2","2","0.6","0.02","0.05","0.230769230769231","0.179808076769292","65"
"2315.T","1","0.8","1.5","0.6","0.02","0.02","0.714285714285714","1.33128997867804","7"
"2370.T","1","0.8","1.5","0.6","0.02","0.02","0.416666666666667","0.380368565336582","12"
"2413.T","5","1.2","2","0.6","0.02","0.02","0.409836065573771","0.416222399928917","61"
"2432.T","2","1.2","2","1","0.05","0.02","0.435483870967742","0.46236362597818","62"
"247A.T","5","1.2","2","0.6","0.05","0.02","0.266666666666667","0.217949183962779","60"
"2492.T","5","1.2","2","0.6","0.02","0.02","0.212765957446809","0.161989258350714","47"
"2502.T","1","1.2","2","1","0.05","0.05","0.475","0.542278326764532","40"
"2503.T","3","1.2","2","0.6","0.05","0.05","0.521739130434783","0.653847551888336","46"
"2586.T","1","1.2","1.5","1","0.02","0.02","0.571428571428571","1.06538734896944","7"
"2644.T","5","1.2","2","1","0.05","0.05","0.348837209302326","0.321085851373736","43"
"2726.T","2","1.2","2","0.6","0.05","0.02","0.378787878787879","0.365463570669293","66"
"2743.T","1","1","1.5","0.6","0.05","0.02","0.571428571428571","0.88770433546553","14"
"2801.T","5","1.2","2","0.8","0.05","0.05","0.538461538461538","0.699253631880581","52"
"2802.T","5","1.2","2","1","0.02","0.02","0.104477611940299","0.0699253631880581","67"
"285A.T","2","1.2","2","1","0.05","0.05","0.409090909090909","0.414941715621444","44"
"2871.T","1","1.2","1.5","0.8","0.05","0.02","0.256410256410256","0.275531210940372","39"
"2897.T","5","1.2","1.5","0.8","0.05","0.05","0.107142857142857","0.0958848614072495","56"
"290A.T","1","1.2","1.5","0.6","0.05","0.05","0.0909090909090909","0.0799040511727079","44"
"2914.T","2","1.2","2","0.6","0.02","0.02","0.4","0.399573503931761","65"
"3003.T","3","1.2","1.5","0.8","0.02","0.05","0.403508771929825","0.540527404991847","57"
"3038.T","1","1.2","2","0.6","0.05","0.05","0.224137931034483","0.17314851837043","58"
"3064.T","1","1.2","2","1","0.05","0.05","0.295081967213115","0.250894990840873","61"
"3086.T","3","1.2","2","0.6","0.05","0.05","0.333333333333333","0.29968012794882","27"
"3092.T","1","1.2","1.5","0.6","0.05","0.05","0.425531914893617","0.591881860538577","47"
"3099.T","2","1.2","1.5","0.6","0.02","0.05","0.274509803921569","0.302339653085922","51"
"314A.T","2","1.2","2","0.6","0.02","0.02","0.261538461538462","0.212273423963748","65"
"318A.T","1","1.2","1.5","0.6","0.05","0.02","0.213114754098361","0.216406805259417","61"
"3231.T","5","1.2","2","0.6","0.02","0.02","0.541666666666667","0.70833484787903","48"
"3289.T","3","1.2","2","0.6","0.02","0.05","0.524590163934426","0.6613630409905","61"
"3315.T","1","0.8","1.5","0.6","0.02","0.02","0.666666666666667","1.06503198294243","6"
"3323.T","1","1","1.5","0.6","0.05","0.05","0.666666666666667","1.33155650319829","3"
"3350.T","2","1.2","2","0.6","0.02","0.05","0.230769230769231","0.179808076769292","52"
"3382.T","5","1.2","2","0.8","0.02","0.05","0.506849315068493","0.616009151894798","73"
"3402.T","5","1.2","1.5","1","0.02","0.05","0.298507462686567","0.3400172390328","67"
"3405.T","2","1.2","2","0.8","0.02","0.02","0.28125","0.234532274046903","64"
"3407.T","2","1.2","2","1","0.02","0.05","0.35","0.322732445483345","60"
"3436.T","5","1.2","2","1","0.02","0.05","0.301587301587302","0.258814655955799","63"
"3536.T","1","0.8","1.5","0.6","0.02","0.02","1","999","8"
"3656.T","1","1.2","1.5","1","0.02","0.02","0.1875","0.184393964244711","16"
"3659.T","1","1.2","1.5","0.6","0.05","0.02","0.277777777777778","0.307323273741184","54"
"3664.T","1","1","1.5","0.6","0.02","0.02","0.5","0.665778251599147","2"
"3697.T","2","1.2","2","1","0.05","0.05","0.333333333333333","0.29968012794882","57"
"3777.T","1","0.8","1.5","1","0.02","0.02","1","999","4"
"3823.T","1","0.8","1.5","0.8","0.02","0.02","1","999","2"
"3825.T","1","1.2","1.5","0.6","0.02","0.02","0.206896551724138","0.208445350885325","29"
"3861.T","3","1.2","1.5","1","0.05","0.05","0.387755102040816","0.506058990760483","49"
"3905.T","5","1.2","1.5","0.8","0.05","0.05","0.257142857142857","0.276590946367066","35"
"3923.T","2","1.2","2","0.8","0.02","0.02","0.396825396825397","0.394315957827395","63"
"4004.T","5","1.2","1.5","1","0.02","0.05","0.180327868852459","0.175788912579957","61"
"4005.T","2","1.2","2","0.6","0.05","0.02","0.257142857142857","0.207470857810722","70"
"402A.T","2","1.2","2","1","0.05","0.02","0.166666666666667","0.119872051179528","60"
"4062.T","5","1.2","2","0.8","0.02","0.05","0.152542372881356","0.107884846061575","59"
"4063.T","3","1.2","1.5","0.6","0.05","0.02","0.444444444444444","0.639232409381663","54"
"4088.T","2","1.2","1.5","0.6","0.02","0.02","0.382352941176471","0.494644126307239","68"
"408A.T","1","1.2","1.5","0.8","0.02","0.05","0.142857142857143","0.13317341862118","42"
