winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.19298245614035087,0.14666666666666667,57,1357.T,3,1.2,2.0,1.0,0.05,0.05,0.14332527858421848
0.13953488372093023,0.09729729729729729,43,1360.T,1,1.2,2.0,1.0,0.05,0.05,0.09719355501042827
0.2,0.2222222222222222,5,1366.T,1,1.0,1.5,0.6,0.05,0.02,0.1664445628997868
0.23809523809523808,0.2,42,1459.T,3,1.2,2.0,0.8,0.05,0.02,0.1873000799680128
0.11320754716981132,0.07659574468085105,53,1568.T,2,1.2,2.0,0.8,0.05,0.05,0.07651407522097546
0.17391304347826086,0.12857142857142856,69,1570.T,3,1.2,2.0,1.0,0.02,0.02,0.12618110650476652
0.1746031746031746,0.12941176470588234,63,1579.T,5,1.2,2.0,0.6,0.05,0.02,0.12678774643988558
0.25,0.20425531914893616,64,186A.T,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
0.3333333333333333,0.26666666666666666,3,2134.T,1,0.8,1.5,1.0,0.02,0.02,0.2662579957356076
0.25,0.20816326530612245,68,215A.T,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
0.23529411764705882,0.24615384615384614,34,2181.T,1,1.2,1.5,1.0,0.05,0.05,0.24585861899294736
1.0,999.0,2,2315.T,1,1.0,1.5,0.8,0.02,0.02,
0.22580645161290322,0.1826086956521739,31,2502.T,1,1.2,2.0,0.6,0.05,0.05,0.17481340797014527
0.43902439024390244,0.4695652173913043,41,285A.T,3,1.2,2.0,1.0,0.02,0.05,0.469064548093806
0.288135593220339,0.2615384615384615,59,3086.T,2,1.2,2.0,0.8,0.05,0.05,0.24259819881571185
0.4444444444444444,0.64,36,314A.T,1,1.2,1.5,0.8,0.02,0.02,0.6392324093816631
0.3953488372093023,0.523076923076923,43,3350.T,2,1.2,1.5,0.6,0.02,0.05,0.5224495653600132
0.375,0.37241379310344824,48,3382.T,5,1.2,2.0,1.0,0.05,0.05,0.35961615353858456
0.2653061224489796,0.22285714285714286,49,3436.T,5,1.2,2.0,0.6,0.05,0.05,0.21643564796303708
0.17647058823529413,0.1142857142857143,17,3647.T,1,0.8,1.5,0.6,0.02,0.02,0.11411056960097474
0.0,0.0,2,3656.T,1,1.2,2.0,1.0,0.02,0.02,0.0
0.2413793103448276,0.19534883720930232,58,3697.T,3,1.2,2.0,0.8,0.05,0.05,0.19070553596743123
0.4489795918367347,0.4888888888888889,49,4005.T,5,1.2,2.0,0.6,0.02,0.02,0.4883676159165964
0.234375,0.1875,64,4088.T,3,1.2,2.0,0.6,0.02,0.02,0.1834776293564207
0.22033898305084745,0.22608695652173913,59,4385.T,5,1.2,1.5,1.0,0.02,0.05,0.22581579679243535
0.40816326530612246,0.41379310344827586,49,4446.T,2,1.2,2.0,0.8,0.05,0.05,0.41335190061906274
0.1956521739130435,0.19999999999999998,46,4503.T,5,1.2,1.5,1.0,0.02,0.05,0.19436120555523542
0.15384615384615385,0.14545454545454545,65,4506.T,3,1.2,1.5,1.0,0.02,0.02,0.14528009304128708
0.0,0.0,0,4564.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.36507936507936506,0.345,63,4568.T,5,1.2,2.0,0.6,0.05,0.02,0.3446321471411436
0.15384615384615385,0.14545454545454545,13,4571.T,1,1.2,1.5,0.6,0.02,0.05,0.14528009304128708
0.6153846153846154,1.28,13,4586.T,1,1.2,1.5,0.8,0.02,0.02,1.2784648187633265
1.0,999.0,4,4597.T,1,0.8,1.5,0.6,0.02,0.02,
